timestamp,heart_rate,hrv,stress_score,skin_temp
2025-11-25 10:00:00,ERROR,48.6,NaN,33.7
2025-11-25 10:01:00,79,49.2,37.7,33.6
2025-11-25 10:02:00,78,53.5,25.4,33.3
2025-11-25 10:03:00,81,40.1,25.7,33.3
2025-11-25 10:04:00,77,53.1,22.4,33.2
2025-11-25 10:05:00,85,46.6,34.5,33.2
2025-11-25 10:06:00,79,51.2,23.0,33.5
2025-11-25 10:07:00,79,49.3,26.4,33.8
2025-11-25 10:08:00,80,44.5,36.5,33.2
2025-11-25 10:09:00,81,39.7,28.0,33.5
2025-11-25 10:10:00,82,49.7,31.0,33.4
2025-11-25 10:11:00,75,48.7,25.5,33.3
2025-11-25 10:12:00,81,40.9,35.6,33.0
2025-11-25 10:13:00,77,54.6,31.5,33.3
2025-11-25 10:14:00,76,50.5,28.9,33.3
2025-11-25 10:15:00,76,51.0,21.8,32.9
2025-11-25 10:16:00,79,57.2,26.2,33.3
2025-11-25 10:17:00,77,48.4,30.5,33.5
2025-11-25 10:18:00,74,60.6,9.3,33.3
2025-11-25 10:19:00,74,51.7,25.9,32.8
2025-11-25 10:20:00,71,56.1,29.8,33.1
2025-11-25 10:21:00,68,53.4,26.2,33.2
2025-11-25 10:22:00,68,58.7,19.6,33.4
2025-11-25 10:23:00,66,55.5,17.3,32.9
2025-11-25 10:24:00,67,57.7,19.3,33.2
2025-11-25 10:25:00,61,57.6,13.7,33.1
2025-11-25 10:26:00,63,60.5,25.1,33.3
2025-11-25 10:27:00,63,58.2,6.9,33.2
2025-11-25 10:28:00,61,71.8,9.0,33.3
2025-11-25 10:29:00,60,54.3,21.8,33.4
2025-11-25 10:30:00,60,55.3,23.1,33.0
2025-11-25 10:31:00,59,71.5,3.7,33.1
2025-11-25 10:32:00,57,59.2,4.6,33.3
2025-11-25 10:33:00,53,66.1,2.5,33.6
2025-11-25 10:34:00,53,61.9,13.1,33.0
2025-11-25 10:35:00,56,68.7,0.0,33.3
2025-11-25 10:36:00,56,66.0,2.9,33.0
2025-11-25 10:37:00,57,63.2,12.0,33.3
2025-11-25 10:38:00,53,64.5,9.6,33.1
2025-11-25 10:39:00,61,61.7,8.2,33.4
2025-11-25 10:40:00,53,67.2,13.0,33.1
2025-11-25 10:41:00,60,62.1,17.3,33.7
2025-11-25 10:42:00,57,57.6,8.8,33.1
2025-11-25 10:43:00,59,62.4,13.6,33.5
2025-11-25 10:44:00,60,67.2,9.8,33.8
2025-11-25 10:45:00,63,54.2,12.8,33.4
2025-11-25 10:46:00,62,62.7,16.3,33.3
2025-11-25 10:47:00,61,51.8,15.7,33.5
2025-11-25 10:48:00,66,51.0,21.9,33.4
2025-11-25 10:49:00,64,58.9,16.9,33.1
2025-11-25 10:50:00,69,,25.2,33.5
